what,kind,bundleId,bundleVersion,description,time
activated,editor,org.python.pydev,1.4.2,org.python.pydev.editor.PythonEditor,1233032975928
activated,editor,org.python.pydev,1.4.2,org.python.pydev.editor.PythonEditor,1233032987362
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233032990530
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233033003454
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1233033004623
activated,editor,org.python.pydev,1.4.2,org.python.pydev.editor.PythonEditor,1233033007878
activated,editor,org.python.pydev,1.4.2,org.python.pydev.editor.PythonEditor,1233033049834
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233033052900
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233033065729
activated,editor,org.python.pydev,1.4.2,org.python.pydev.editor.PythonEditor,1233033067465
activated,editor,org.python.pydev,1.4.2,org.python.pydev.editor.PythonEditor,1233033074571
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233033077565
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233033186818
activated,editor,org.python.pydev,1.4.2,org.python.pydev.editor.PythonEditor,1233033189872
activated,editor,org.python.pydev,1.4.2,org.python.pydev.editor.PythonEditor,1233033204147
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233033207219
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233033282744
activated,view,org.python.pydev,1.4.2,org.python.pydev.navigator.view,1233033293019
opened,editor,org.python.pydev,1.4.2,org.python.pydev.editor.PythonEditor,1233033293225
activated,editor,org.python.pydev,1.4.2,org.python.pydev.editor.PythonEditor,1233033293280
activated,view,org.python.pydev,1.4.2,org.python.pydev.navigator.view,1233033324952
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233033330410
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233033379782
opened,editor,org.python.pydev,1.4.2,org.python.pydev.editor.PythonEditor,1233033384992
activated,editor,org.python.pydev,1.4.2,org.python.pydev.editor.PythonEditor,1233033385083
