what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233211301466
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233211303045
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233211305067
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233211308592
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233211326396
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233211326403
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233211326434
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233211326442
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233211330197
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233211336133
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233211984176
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233211986295
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233211987575
activated,editor,org.python.pydev,1.4.2,org.python.pydev.editor.PythonEditor,1233211988483
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233211991284
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233212028934
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233212029850
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233212220936
activated,editor,org.python.pydev,1.4.2,org.python.pydev.editor.PythonEditor,1233212224457
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233212242461
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233212246289
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.undo,1233212327816
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.undo,1233212328116
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.undo,1233212328815
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.copy,1233212389718
