what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233087752906
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233087754223
activated,editor,org.python.pydev,1.4.2,org.python.pydev.editor.PythonEditor,1233087754962
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233087758292
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233087760582
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1233087771074
activated,editor,org.python.pydev,1.4.2,org.python.pydev.editor.PythonEditor,1233087771209
activated,editor,org.python.pydev,1.4.2,org.python.pydev.editor.PythonEditor,1233087781280
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233087784498
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233087807790
activated,editor,org.python.pydev,1.4.2,org.python.pydev.editor.PythonEditor,1233087811696
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1233087824518
activated,editor,org.python.pydev,1.4.2,org.python.pydev.editor.PythonEditor,1233087825833
activated,editor,org.python.pydev,1.4.2,org.python.pydev.editor.PythonEditor,1233087840909
activated,editor,org.python.pydev,1.4.2,org.python.pydev.editor.PythonEditor,1233087851289
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233087854799
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233088121185
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1233088137826
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.copy,1233088139884
started,bundle,org.eclipse.search,3.4.1.r341_v20080813-0800,org.eclipse.search,1233088142350
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233088142497
opened,view,org.eclipse.search,3.4.1.r341_v20080813-0800,org.eclipse.search.ui.views.SearchView,1233088144612
activated,view,org.eclipse.search,3.4.1.r341_v20080813-0800,org.eclipse.search.ui.views.SearchView,1233088144674
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233088144867
executed,command,org.eclipse.search,3.4.1.r341_v20080813-0800,org.eclipse.search.ui.openSearchDialog,1233088144888
